time,ax,ay,az,aT
6.8450,7.6451,5.3547,2.2527,9.602
6.8590,7.8104,5.8611,2.5809,10.100
6.8640,8.0804,6.1496,2.9774,10.582
6.8870,8.5971,6.0832,3.1956,11.006
6.8900,8.8710,5.9379,3.5099,11.237
6.8940,8.8170,5.8895,3.9771,11.324
6.9050,8.7071,5.8179,4.4676,11.385
6.9150,8.6067,5.4129,5.0567,11.355
6.9240,8.3697,4.8432,5.3982,11.075
6.9350,7.8767,4.4121,5.5855,10.616
6.9450,7.0625,4.1457,5.6007,9.921
6.9570,6.3844,3.8740,5.3919,9.211
6.9640,6.1802,3.5903,5.0125,8.730
6.9760,6.4720,3.0324,4.7032,8.556
6.9870,6.9246,2.3396,4.3195,8.490
6.9940,7.4017,1.7836,4.0211,8.610
7.0060,8.0646,1.2348,3.9679,9.072
7.0500,8.6497,0.6804,3.8563,9.495
7.0520,9.3125,0.1189,3.7527,10.041
7.0530,9.6385,-0.4997,3.7798,10.365
7.0550,9.3645,-0.6979,3.6796,10.086
7.0570,9.2755,-1.2738,4.0531,10.202
7.0660,9.3797,-1.9206,4.2168,10.462
7.0770,9.3646,-2.5167,4.2790,10.599
7.0850,9.1631,-2.9742,4.0693,10.458
7.0940,8.6784,-3.3638,3.9165,10.098
7.1080,7.9564,-3.6484,3.6994,9.503
7.1140,7.0430,-3.7717,3.4203,8.691
7.1260,5.7946,-3.7389,2.9815,7.513
7.1420,4.6940,-3.8120,2.7220,6.631
7.1480,3.7788,-4.0187,2.5290,6.068
7.1830,2.9408,-4.2834,2.4600,5.749
7.1840,2.1733,-4.4757,2.4168,5.531
7.1860,1.3933,-4.6184,2.2278,5.314
7.1900,0.8848,-4.9148,2.0048,5.381
7.1950,0.5211,-5.3831,1.7896,5.697
7.2090,0.2979,-5.7962,1.6161,6.025
7.2180,0.1106,-6.2788,1.4002,6.434
7.2250,-0.1645,-6.6982,1.2063,6.808
7.2390,-0.3475,-7.2240,0.8618,7.284
7.2470,-0.5391,-7.7611,0.5718,7.801
7.2590,-0.7062,-8.3931,0.3675,8.431
7.2650,-0.9684,-8.8538,0.2784,8.911
7.2770,-1.2815,-9.2926,0.2257,9.383
7.3240,-1.6064,-9.6445,0.1863,9.779
7.3260,-1.9417,-9.9071,0.2017,10.098
7.3270,-2.3207,-10.1252,0.1228,10.389
7.3290,-2.6911,-10.3102,0.0411,10.656
7.3310,-3.0112,-10.3649,-0.0170,10.793
7.3530,-3.3921,-10.3602,-0.0456,10.901
7.4050,-3.5624,-10.3461,-0.0311,10.942
7.4110,-3.8640,-10.4131,-0.1014,11.107
7.4130,-4.1023,-10.2931,-0.1648,11.082
7.4210,-4.4511,-10.1648,-0.2500,11.099
7.4250,-4.6736,-9.9684,-0.4409,11.018
7.4290,-4.9153,-9.8404,-0.4465,11.009
7.4310,-5.0103,-9.7720,-0.4169,10.990
7.4320,-5.1853,-9.6592,-0.4548,10.972
