time,gFx,gFy,gFz,TgF
0.997000,-0.6618,-0.6821,0.3401,1.009
1.000000,-0.6501,-0.6868,0.3276,1.001
1.003000,-0.6355,-0.6919,0.3161,0.991
1.004000,-0.6281,-0.6941,0.3125,0.987
1.006000,-0.6127,-0.7000,0.3037,0.979
1.009000,-0.5964,-0.7056,0.2920,0.969
1.009000,-0.5895,-0.7066,0.2878,0.964
1.011000,-0.5815,-0.7092,0.2829,0.960
1.013000,-0.5771,-0.7073,0.2805,0.955
1.015000,-0.5790,-0.7063,0.2807,0.955
1.018000,-0.5822,-0.7024,0.2822,0.955
1.019000,-0.5895,-0.6995,0.2836,0.958
1.021000,-0.5964,-0.6963,0.2844,0.960
1.023000,-0.6005,-0.6917,0.2863,0.960
1.025000,-0.6096,-0.6843,0.2929,0.962
1.027000,-0.6218,-0.6811,0.2971,0.969
1.029000,-0.6262,-0.6763,0.3034,0.970
1.031000,-0.6342,-0.6714,0.3086,0.974
1.033000,-0.6384,-0.6682,0.3132,0.976
1.037000,-0.6418,-0.6626,0.3176,0.976
1.038000,-0.6509,-0.6611,0.3225,0.982
1.039000,-0.6648,-0.6599,0.3259,0.992
1.041000,-0.6711,-0.6589,0.3293,0.997
1.043000,-0.6821,-0.6626,0.3352,1.008
1.045000,-0.6931,-0.6648,0.3401,1.019
1.048000,-0.7007,-0.6728,0.3433,1.030
1.050000,-0.7034,-0.6763,0.3452,1.035
